time, data
167.092, 0.685599
167.109, 0.685599
167.109, 0.685599
167.126, 0.685599
167.143, 0.685599
167.143, 0.685599
167.16, 0.685599
167.177, 0.685599
167.177, 0.685599
167.194, 0.685599
167.194, 0.685599
167.211, 0.685599
167.228, 0.685599
167.228, 0.685599
167.245, 0.685599
167.262, 0.685599
167.262, 0.685599
167.279, 0.685599
167.296, 0.685599
167.296, 0.685599
167.313, 0.685599
167.33, 0.685599
167.33, 0.685599
167.347, 0.685599
167.364, 0.685599
167.364, 0.685599
167.381, 0.685599
167.398, 0.685599
167.398, 0.685599
167.415, 0.685599
167.432, 0.685599
167.432, 0.685599
167.449, 0.685599
167.466, 0.685599
167.466, 0.685599
167.483, 0.685599
167.5, 0.685599
167.5, 0.685599
167.517, 0.685599
167.534, 0.685599
167.534, 0.685599
167.551, 0.685599
167.568, 0.685599
167.568, 0.685599
167.585, 0.685599
167.585, 0.685599
167.602, 0.685599
167.619, 0.685599
167.619, 0.685599
167.636, 0.685599
167.653, 0.685599
167.653, 0.685599
167.67, 0.685599
167.67, 0.685599
167.687, 0.685599
167.704, 0.685599
167.704, 0.685599
167.721, 0.685599
167.738, 0.685599
167.738, 0.685599
167.755, 0.685599
167.772, 0.685599
167.772, 0.685599
167.789, 0.685599
167.806, 0.685599
167.806, 0.685599
167.823, 0.685599
167.84, 0.685599
167.84, 0.685599
167.857, 0.685599
167.874, 0.685599
167.874, 0.685599
167.891, 0.685599
167.908, 0.685599
167.908, 0.685599
167.925, 0.685599
167.942, 0.685599
167.942, 0.685599
167.959, 0.685599
167.959, 0.685599
167.976, 0.685599
167.993, 0.685599
167.993, 0.685599
168.01, 0.685599
168.027, 0.685599
168.027, 0.685599
168.044, 0.685599
168.061, 0.685599
168.061, 0.685599
168.078, 0.685599
168.095, 0.685599
168.095, 0.685599
168.112, 0.685599
168.129, 0.685599
168.129, 0.685599
168.146, 0.685599
168.146, 0.685599
168.163, 0.685599
168.18, 0.685599
168.18, 0.685599
168.197, 0.685599
168.214, 0.685599
168.214, 0.685599
168.231, 0.685599
168.248, 0.685599
168.248, 0.685599
168.265, 0.685599
168.282, 0.685599
168.282, 0.685599
168.299, 0.685599
168.316, 0.685599
168.316, 0.685599
168.333, 0.685599
168.35, 0.685599
168.35, 0.685599
168.367, 0.685599
168.367, 0.685599
168.384, 0.685599
168.401, 0.685599
168.401, 0.685599
168.418, 0.685599
168.435, 0.685599
168.435, 0.685599
168.452, 0.685599
168.469, 0.685599
168.469, 0.685599
168.486, 0.685599
168.503, 0.685599
168.503, 0.685599
168.52, 0.685599
168.537, 0.685599
168.537, 0.685599
168.554, 0.685599
168.571, 0.685599
168.571, 0.685599
168.588, 0.685599
168.605, 0.685599
168.605, 0.685599
168.622, 0.685599
168.639, 0.685599
168.639, 0.685599
168.656, 0.685599
168.656, 0.685599
168.673, 0.685599
168.69, 0.685599
168.707, 0.685599
168.707, 0.685599
168.724, 0.685599
168.724, 0.685599
168.741, 0.685599
168.758, 0.685599
168.758, 0.685599
168.775, 0.685599
168.792, 0.685599
168.792, 0.685599
168.809, 0.685599
168.826, 0.685599
168.826, 0.685599
168.843, 0.685599
168.843, 0.685599
168.86, 0.685599
168.877, 0.685599
168.877, 0.685599
168.894, 0.685599
168.911, 0.685599
168.911, 0.685599
168.928, 0.685599
168.945, 0.685599
168.945, 0.685599
168.962, 0.685599
168.979, 0.685599
168.979, 0.685599
168.996, 0.685599
169.013, 0.685599
169.013, 0.685599
169.03, 0.685599
169.047, 0.685599
169.047, 0.685599
169.064, 0.685599
169.081, 0.685599
169.081, 0.685599
169.098, 0.685599
169.115, 0.685599
169.115, 0.685599
169.132, 0.685599
169.149, 0.685599
169.149, 0.685599
169.166, 0.685599
169.166, 0.685599
169.182, 0.685599
169.199, 0.685599
169.199, 0.685599
169.216, 0.685599
169.233, 0.685599
169.233, 0.685599
169.25, 0.685599
169.267, 0.685599
169.267, 0.685599
169.284, 0.685599
169.301, 0.685599
169.301, 0.685599
169.318, 0.685599
169.318, 0.685599
169.335, 0.685599
169.352, 0.685599
169.352, 0.685599
169.369, 0.685599
169.386, 0.685599
169.386, 0.685599
169.403, 0.685599
169.42, 0.685599
169.42, 0.685599
169.437, 0.685599
169.454, 0.685599
169.454, 0.685599
169.471, 0.685599
169.488, 0.685599
169.488, 0.685599
169.505, 0.685599
169.522, 0.685599
169.522, 0.685599
169.539, 0.685599
169.539, 0.685599
169.556, 0.685599
169.573, 0.685599
169.573, 0.685599
169.59, 0.685599
169.607, 0.685599
169.624, 0.685599
169.624, 0.685599
169.641, 0.685599
169.641, 0.685599
169.658, 0.685599
169.675, 0.685599
169.675, 0.685599
169.692, 0.685599
169.709, 0.685599
169.709, 0.685599
169.726, 0.685599
169.743, 0.685599
169.743, 0.685599
169.76, 0.685599
169.777, 0.685599
169.777, 0.685599
169.794, 0.685599
169.811, 0.685599
169.811, 0.685599
169.828, 0.685599
169.828, 0.685599
169.845, 0.685599
169.862, 0.685599
169.862, 0.685599
169.879, 0.685599
169.896, 0.685599
169.896, 0.685599
169.913, 0.685599
169.93, 0.685599
169.93, 0.685599
169.947, 0.685599
169.964, 0.685599
169.964, 0.685599
169.981, 0.685599
169.981, 0.685599
169.998, 0.685599
170.015, 0.685599
170.015, 0.685599
170.032, 0.685599
170.049, 0.685599
170.049, 0.685599
170.066, 0.685599
170.083, 0.685599
170.083, 0.685599
170.1, 0.685599
170.117, 0.685599
170.117, 0.685599
170.134, 0.685599
170.151, 0.685599
170.151, 0.685599
170.168, 0.685599
