time, data
83.718, 0.685559
83.735, 0.685559
83.735, 0.685559
83.752, 0.685559
83.769, 0.685559
83.769, 0.685559
83.786, 0.685559
83.802, 0.685559
83.802, 0.685559
83.819, 0.685559
83.836, 0.685559
83.836, 0.685559
83.853, 0.685559
83.87, 0.685559
83.87, 0.685559
83.887, 0.685559
83.904, 0.685559
83.904, 0.685559
83.921, 0.685559
83.938, 0.685559
83.938, 0.685559
83.955, 0.685559
83.972, 0.685559
83.972, 0.685559
83.989, 0.685559
84.005, 0.685559
84.005, 0.685559
84.022, 0.685559
84.022, 0.685559
84.039, 0.685559
84.056, 0.685559
84.056, 0.685559
84.073, 0.685559
84.09, 0.685559
84.09, 0.685559
84.107, 0.685559
84.124, 0.685559
84.124, 0.685559
84.141, 0.685559
84.158, 0.685559
84.158, 0.685559
84.175, 0.685559
84.175, 0.685559
84.192, 0.685559
84.209, 0.685559
84.209, 0.685559
84.226, 0.685559
84.243, 0.685559
84.243, 0.685559
84.26, 0.685559
84.277, 0.685559
84.277, 0.685559
84.294, 0.685559
84.311, 0.685559
84.311, 0.685559
84.328, 0.685559
84.345, 0.685559
84.345, 0.685559
84.362, 0.685559
84.379, 0.685559
84.379, 0.685559
84.395, 0.685559
84.412, 0.685559
84.412, 0.685559
84.429, 0.685559
84.446, 0.685559
84.446, 0.685559
84.463, 0.685559
84.463, 0.685559
84.48, 0.685559
84.497, 0.685559
84.497, 0.685559
84.514, 0.685559
84.531, 0.685559
84.531, 0.685559
84.548, 0.685559
84.565, 0.685559
84.565, 0.685559
84.581, 0.685559
84.597, 0.685559
84.597, 0.685559
84.613, 0.685559
84.629, 0.685559
84.629, 0.685559
84.645, 0.685559
84.662, 0.685559
84.662, 0.685559
84.679, 0.685559
84.696, 0.685559
84.696, 0.685559
84.713, 0.685559
84.73, 0.685559
84.73, 0.685559
84.747, 0.685559
84.764, 0.685559
84.764, 0.685559
84.781, 0.685559
84.798, 0.685559
84.798, 0.685559
84.815, 0.685559
84.815, 0.685559
84.832, 0.685559
84.849, 0.685559
84.849, 0.685559
84.866, 0.685559
84.883, 0.685559
84.883, 0.685559
84.9, 0.685559
84.917, 0.685559
84.917, 0.685559
84.934, 0.685559
84.934, 0.685559
84.951, 0.685559
84.968, 0.685559
84.968, 0.685559
84.985, 0.685559
85.002, 0.685559
85.002, 0.685559
85.019, 0.685559
85.036, 0.685559
85.036, 0.685559
85.053, 0.685559
85.07, 0.685559
85.07, 0.685559
85.087, 0.685559
85.104, 0.685559
85.104, 0.685559
85.121, 0.685559
85.138, 0.685559
85.138, 0.685559
85.155, 0.685559
85.172, 0.685559
85.172, 0.685559
85.188, 0.685559
85.205, 0.685559
85.205, 0.685559
85.222, 0.685559
85.222, 0.685559
85.239, 0.685559
85.256, 0.685559
85.256, 0.685559
85.273, 0.685559
85.29, 0.685559
85.29, 0.685559
85.307, 0.685559
85.324, 0.685559
85.341, 0.685559
85.341, 0.685559
85.358, 0.685559
85.358, 0.685559
85.375, 0.685559
85.392, 0.685559
85.392, 0.685559
85.409, 0.685559
85.409, 0.685559
85.426, 0.685559
85.443, 0.685559
85.443, 0.685559
85.46, 0.685559
85.477, 0.685559
85.477, 0.685559
85.494, 0.685559
85.511, 0.685559
85.511, 0.685559
85.528, 0.685559
85.545, 0.685559
85.545, 0.685559
85.562, 0.685559
85.579, 0.685559
85.579, 0.685559
85.596, 0.685559
85.613, 0.685559
85.613, 0.685559
85.63, 0.685559
85.63, 0.685559
85.647, 0.685559
85.664, 0.685559
85.664, 0.685559
85.681, 0.685559
85.698, 0.685559
85.698, 0.685559
85.715, 0.685559
85.732, 0.685559
85.732, 0.685559
85.749, 0.685559
85.766, 0.685559
85.766, 0.685559
85.783, 0.685559
85.8, 0.685559
85.8, 0.685559
85.817, 0.685559
85.834, 0.685559
85.834, 0.685559
85.851, 0.685559
85.868, 0.685559
85.868, 0.685559
85.885, 0.685559
85.902, 0.685559
85.902, 0.685559
85.919, 0.685559
85.936, 0.685559
85.936, 0.685559
85.953, 0.685559
85.953, 0.685559
85.97, 0.685559
85.987, 0.685559
86.004, 0.685559
86.004, 0.685559
86.021, 0.685559
86.021, 0.685559
86.038, 0.685559
86.055, 0.685559
86.055, 0.685559
86.071, 0.685559
86.087, 0.685559
86.087, 0.685559
86.104, 0.685559
86.104, 0.685559
86.121, 0.685559
86.137, 0.685559
86.137, 0.685559
86.153, 0.685559
86.17, 0.685559
86.17, 0.685559
86.187, 0.685559
86.204, 0.685559
86.204, 0.685559
86.221, 0.685559
86.238, 0.685559
86.238, 0.685559
86.255, 0.685559
86.272, 0.685559
86.272, 0.685559
86.289, 0.685559
86.306, 0.685559
86.306, 0.685559
86.323, 0.685559
86.34, 0.685559
86.34, 0.685559
86.357, 0.685559
86.374, 0.685559
86.374, 0.685559
86.391, 0.685559
86.408, 0.685559
86.408, 0.685559
86.425, 0.685559
86.425, 0.685559
86.442, 0.685559
86.459, 0.685559
86.459, 0.685559
86.476, 0.685559
86.493, 0.685559
86.493, 0.685559
86.51, 0.685559
86.527, 0.685559
86.527, 0.685559
86.544, 0.685559
86.561, 0.685559
86.561, 0.685559
86.578, 0.685559
86.578, 0.685559
86.595, 0.685559
86.612, 0.685559
86.612, 0.685559
86.629, 0.685559
86.646, 0.685559
86.646, 0.685559
86.663, 0.685559
86.68, 0.685559
86.68, 0.685559
86.697, 0.685559
86.714, 0.685559
86.714, 0.685559
86.731, 0.685559
86.748, 0.685559
86.748, 0.685559
86.765, 0.685559
86.782, 0.685559
86.782, 0.685559
86.799, 0.685559
86.816, 0.685559
86.816, 0.685559
86.833, 0.685559
86.833, 0.685559
86.85, 0.685559
86.867, 0.685559
86.867, 0.685559
86.884, 0.685559
86.901, 0.685559
86.901, 0.685559
86.918, 0.685559
86.935, 0.685559
86.935, 0.685559
86.952, 0.685559
86.969, 0.685559
86.969, 0.685559
86.986, 0.685559
87.003, 0.685559
